Ref,Credit_Score,Final_Grade,Term,Net_Advance,APR,Loan_Type,Mosaic,Mosaic_Class,Time_at_Address,Residential_Status,Telephone_Indicator,Number_of_Dependants,Marital_Status,Gender,Time_in_Employment,Employment_Status,Full_Part_Time_Empl_Ind,Perm_Temp_Empl_Ind,Income_Range,Current_Account,ACCESS_Card,VISA_Card,American_Express,Diners_Card,Cheque_Guarantee,Other_Credit_Store_Card,Time_with_Bank,Value_of_Property,Outstanding_Mortgage_Bal,Total_Outstanding_Balances,Bureau Data - Monthly_Other_Co_Repayments,Worst_History_CT,Payment_Method,Age,Total_outstanding_balance__mortg,Total # Public Info. (Court + bankruptcies),Total value Public Info. (Court + bankruptcies),Time since most recent Public Info.  mnths,Total_value__CAIS_8_9s,Worst_status_L6m,Worst_CUrrent_Status,__of_status_3_s_L6m,Searches___Total___L6m,Years_on_ER_for_SP,Bankruptcy_Detected__SP_,Total___outstanding_CCJ_s,Total outstanding balance (excl. mortgages),Total___of_accounts,CIFAS_detected,Time_since_most_recent_outstandi,Insurance_Description,PPI,code,prdt_desc,category,PPI_SINGLE,PPI_JOINT,PPI_LCI
4842,982,X,60,7000,13.9,UnSecured,17,3,313,H,Y,0,M,M,85,R,F,P,2,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,FALSE ,13,"170,000.00",1,1896,0,5,D,60,0,0,0,99,0,0,0,0,4,11,N,0,19,2,N,99,Life & Critical Illn      ,1,748,LIFE & CRITICAL ILLNESS,LCI,0,0,1
4843,884,A,60,6000,17.9,UnSecured,47,8,132,H,Y,0,S,F,61,G,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,186,"61,000.00",38000,4874,30,0,D,35,0,0,0,99,0,1,0,0,5,11,N,0,49,9,N,99,,0,,,,0,0,0
4844,777,E,60,5000,24.9,UnSecured,42,7,133,H,N,0,M,M,62,P,F,P,5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,133,"105,000.00",82513,87625,927,0,D,52,84,2,21,14,19,1,1,0,6,0,N,2,52,4,N,14,Joint                     ,1,716,LASU JOINT,JOINT,0,1,0
4849,840,B,60,6400,14.9,UnSecured,17,3,191,H,Y,0,M,F,107,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,251,"160,000.00",133000,40704,800,0,D,57,0,2,8,23,27,1,0,0,3,15,N,1,408,9,N,23,Joint                     ,1,719,LASCI JOINT,JOINT,0,1,0
4851,1042,X,60,4450,16.9,UnSecured,17,3,93,H,Y,0,M,M,320,S,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,140,"150,000.00",30358,33584,235,0,D,71,32,0,0,99,0,0,0,0,1,7,N,0,33,7,N,99,,0,,,,0,0,0
4853,835,C,36,3000,33.9,UnSecured,47,8,28,L,Y,0,D,M,96,S,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,300,"120,000.00",0,764,0,5,D,48,0,0,0,99,0,0,0,0,3,0,N,0,8,1,N,99,,0,,,,0,0,0
4859,883,A,120,12500,11.9,secured  ,22,4,162,H,Y,3,M,M,33,S,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,318,"182,000.00",146183,9628,0,2,D,49,0,1,6,64,12,2,0,0,1,8,N,0,97,3,N,99,Single                    ,1,720,1st Cust - LASCI / 2nd Cust - LCI,Single,1,0,0
4860,688,R,48,3000,44.9,UnSecured,13,2,3,H,Y,0,D,M,6,P,F,P,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,96,"145,000.00",126769,126769,671,5,D,32,128,0,0,99,2,0,0,0,5,0,N,0,0,1,N,99,LASU                      ,1,750,LASU,Single,1,0,0
4862,845,B,60,6000,19.9,UnSecured,46,8,168,T,Y,1,D,F,60,G,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,248,"120,000.00",0,4764,0,4,D,40,0,0,0,99,54,0,0,0,5,0,N,0,48,5,N,99,Single                    ,1,715,LASU,Single,1,0,0
4866,823,C,60,3200,30.4,UnSecured,24,4,49,H,Y,0,M,M,37,P,F,P,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE  ,181,"95,000.00",76695,81623,601,5,D,29,78,1,1,6,16,4,4,2,4,1,N,1,47,4,N,6,Life & Critical Illn      ,1,748,LIFE & CRITICAL ILLNESS,LCI,0,0,1
4870,760,F,60,5000,22.9,UnSecured,55,10,12,H,Y,0,S,F,56,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,198,"170,000.00",136578,166968,1116,0,D,27,158,0,0,99,0,1,1,0,4,1,N,0,107,9,N,99,,0,,,,0,0,0
4871,956,X,48,5000,8.9,UnSecured,9,2,84,H,Y,1,S,M,120,S,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,156,"195,000.00",940000,123130,1019,0,D,39,96,0,0,99,0,0,0,0,1,6,N,0,291,9,N,99,,0,,,,0,0,0
4873,984,X,60,8000,7.9,UnSecured,47,8,154,H,Y,0,M,M,119,S,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,480,"135,000.00",14000,64389,709,5,D,61,0,0,0,99,0,0,0,0,0,12,N,0,644,8,N,99,Joint                     ,1,722,1st Cust - LASCI / 2nd Cust - LASU,Joint,0,1,0
4877,886,A,60,3000,29.9,UnSecured,23,4,60,H,N,2,M,F,102,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,204,"105,000.00",69000,6129,158,0,D,33,0,0,0,99,5,2,0,0,4,3,N,0,62,5,N,99,,0,,,,0,0,0
4879,1060,X,60,4000,18.9,UnSecured,55,10,295,H,Y,0,M,F,240,R,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,240,"195,000.00",0,3240,0,5,D,62,0,0,0,99,0,0,0,0,1,12,N,0,33,5,N,99,,0,,,,0,0,0
4882,992,X,60,5000,8.9,UnSecured,44,8,284,H,Y,0,M,F,36,P,F,P,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,198,"75,000.00",0,148,0,0,D,54,0,0,0,99,0,0,0,0,1,5,N,0,2,1,N,99,Life & CI                 ,1,713,LIFE & CRITICAL ILLNESS,LCI,0,0,1
4883,823,C,60,8000,10.9,UnSecured,44,8,131,H,Y,2,M,M,18,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,96,"85,000.00",25000,18907,221,0,D,44,0,0,0,99,0,2,2,0,5,11,N,0,190,9,N,99,Single                    ,1,717,1st Cust - LASU / 2nd Cust - LCI,Single,1,0,0
4885,789,D,60,3000,28.9,UnSecured,43,7,100,T,Y,2,S,F,30,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,311,"120,000.00",0,4760,361,0,S,38,0,0,0,99,16,0,0,0,3,8,N,0,48,6,N,99,Joint                     ,1,716,LASU JOINT,JOINT,0,1,0
4886,751,F,60,4000,33.9,UnSecured,24,4,98,T,Y,1,S,F,79,P,F,P,4,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,102,"120,000.00",0,2151,0,1,D,33,0,0,0,99,11,1,0,0,2,7,N,0,22,5,N,99,Single                    ,1,718,LASCI,Single,1,0,0
4887,800,D,48,6000,21.9,UnSecured,23,4,48,H,Y,0,D,M,12,S,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,60,"220,000.00",186943,214978,1429,5,D,50,188,0,0,99,26,2,0,0,2,2,N,0,281,4,N,99,,0,,,,0,0,0
4888,812,D,60,5000,23.9,UnSecured,15,3,14,T,Y,2,M,F,41,P,F,P,3,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,TRUE  ,221,"120,000.00",0,18524,12,0,D,41,0,0,0,99,3,0,0,0,2,0,N,0,186,6,N,99,,0,,,,0,0,0
4889,984,X,60,9000,7.9,UnSecured,17,3,72,H,Y,0,S,M,183,S,F,P,6,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,TRUE  ,135,"200,000.00",59479,73324,528,0,D,36,61,0,0,99,21,0,0,0,3,5,N,0,140,9,N,99,,0,,,,0,0,0
4890,810,D,18,2300,29.9,UnSecured,13,2,48,H,Y,4,M,F,36,G,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,231,"115,000.00",45251,58730,510,0,D,36,47,0,0,99,0,2,0,0,3,3,N,0,135,5,N,99,,0,,,,0,0,0
4892,991,X,18,1000,20.9,UnSecured,43,7,456,H,Y,1,M,F,149,R,F,P,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE  ,192,"65,000.00",0,755,0,5,D,74,0,0,0,99,0,0,0,0,0,28,N,0,8,3,N,99,,0,,,,0,0,0
4893,886,A,60,10000,13.9,UnSecured,24,4,36,H,Y,1,M,F,12,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,222,"94,000.00",75132,93522,724,4,D,52,77,0,0,99,0,0,0,0,3,2,N,0,184,8,N,99,Single                    ,1,715,LASU,Single,1,0,0
4899,767,E,120,34000,14.9,secured  ,33,5,52,H,Y,3,M,F,145,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,192,"175,000.00",90205,118795,851,5,D,32,116,0,0,99,58,4,0,4,6,5,N,0,39,7,N,99,,0,,,,0,0,0
4905,959,X,60,13500,7.4,UnSecured,58,11,488,H,Y,1,M,F,23,P,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,TRUE  ,437,"90,000.00",0,27144,30,4,D,62,0,0,0,99,0,0,0,0,2,18,N,0,272,7,N,99,Joint                     ,1,716,LASU JOINT,JOINT,0,1,0
4907,980,X,42,5000,10.9,UnSecured,5,1,442,H,Y,0,W,F,233,R,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,533,"180,000.00",0,8222,0,0,D,63,0,0,0,99,0,0,0,0,0,6,N,0,83,4,N,99,Life & CI                 ,1,713,LIFE & CRITICAL ILLNESS,LCI,0,0,1
4910,1053,X,60,15000,7.4,UnSecured,58,11,266,H,Y,0,M,M,264,G,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,285,"185,000.00",54838,214865,1436,4,D,53,56,0,0,99,0,0,0,0,2,0,N,0,353,9,N,99,Life & CI                 ,1,714,JOINT LIFE & CRITICAL ILLNESS,Single,1,0,0
4911,851,B,60,7000,16.9,UnSecured,44,8,43,T,Y,3,M,M,43,G,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,192,"120,000.00",0,357,0,5,D,37,0,0,0,99,0,0,0,0,9,3,N,0,4,4,N,99,Joint                     ,1,719,LASCI JOINT,JOINT,0,1,0
4912,836,C,60,7500,17.9,UnSecured,47,8,35,H,Y,2,D,F,60,S,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,96,"145,000.00",105807,117879,746,0,D,48,107,0,0,99,0,0,0,0,3,2,N,0,121,6,N,99,,0,,,,0,0,0
4913,840,B,48,3000,36.9,UnSecured,13,2,93,T,Y,0,D,M,78,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,105,"120,000.00",0,4754,473,5,D,57,0,1,6,12,97,0,0,0,1,0,N,1,48,4,N,12,Joint                     ,1,716,LASU JOINT,JOINT,0,1,0
4914,939,A,36,3000,22.9,UnSecured,11,2,217,H,Y,0,M,M,313,P,F,P,5,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,313,"200,000.00",85017,88171,785,0,D,45,87,0,0,99,31,6,6,6,1,17,N,0,32,5,N,99,Single                    ,1,715,LASU,Single,1,0,0
4915,819,C,60,11000,19.9,UnSecured,9,2,62,H,Y,3,M,M,168,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,186,"485,000.00",0,13249,37,4,D,38,0,0,0,99,36,1,1,0,9,5,N,0,133,9,N,99,,0,,,,0,0,0
4916,740,F,36,1000,41.9,UnSecured,11,2,39,T,N,1,M,M,42,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,96,"120,000.00",0,2081,0,5,D,35,0,0,0,99,0,2,1,0,1,0,N,0,21,2,N,99,Joint                     ,1,716,LASU JOINT,JOINT,0,1,0
4918,874,A,60,7000,14.4,UnSecured,45,8,153,H,Y,2,D,F,66,G,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,TRUE  ,306,"140,000.00",115194,97152,518,4,D,41,92,0,0,99,0,1,0,0,8,3,N,0,67,8,N,99,Single                    ,1,715,LASU,Single,1,0,0
4926,905,A,48,7300,9.4,UnSecured,43,7,84,H,Y,0,S,F,120,G,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,422,"100,000.00",102024,86128,490,0,D,36,80,0,0,99,0,0,0,0,3,7,N,0,82,9,N,99,Single                    ,1,715,LASU,Single,1,0,0
4928,829,C,18,4000,26.9,UnSecured,9,2,53,T,Y,0,D,M,121,S,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,50,"120,000.00",0,2694,0,0,D,35,0,0,0,99,0,1,0,0,0,4,N,0,27,6,N,99,Single                    ,1,718,LASCI,Single,1,0,0
4930,940,A,49,5000,10.9,UnSecured,13,2,264,H,Y,1,M,M,10,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,245,"170,000.00",115517,124467,839,0,D,43,117,0,0,99,0,1,0,0,1,22,N,0,90,6,N,99,,0,,,,0,0,0
4936,937,A,60,5000,10.9,UnSecured,44,8,270,H,Y,2,M,M,174,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,120,"95,000.00",65106,95036,589,0,D,45,67,0,0,99,7,0,0,0,0,0,N,0,300,4,N,99,,0,,,,0,0,0
4938,763,E,24,2000,26.9,UnSecured,0,1,12,H,Y,1,M,F,34,P,F,P,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE  ,178,"150,000.00",116515,128898,778,1,D,41,118,0,0,99,7,0,0,0,2,0,N,0,124,2,N,99,Single                    ,1,715,LASU,Single,1,0,0
4940,916,A,48,6000,12.9,UnSecured,60,11,166,H,Y,0,M,M,35,R,F,P,2,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,274,"230,000.00",0,0,0,5,D,71,0,0,0,99,0,0,0,0,0,0,N,0,0,0,N,99,Life & CI                 ,1,713,LIFE & CRITICAL ILLNESS,LCI,0,0,1
4947,903,A,49,7500,10.9,UnSecured,16,3,38,H,N,0,S,M,35,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,156,"217,000.00",84732,127539,1190,5,D,37,86,0,0,99,0,0,0,0,6,3,N,0,429,9,N,99,Single                    ,1,715,LASU,Single,1,0,0
4948,836,C,60,5000,22.9,UnSecured,44,8,216,H,Y,0,S,M,252,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,300,"197,000.00",86765,100433,824,5,D,44,88,0,0,99,0,0,0,0,3,10,N,0,137,5,N,99,,0,,,,0,0,0
4950,760,F,120,20000,13.9,secured  ,47,8,204,H,Y,2,S,M,217,S,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,252,"105,000.00",62591,86951,831,0,D,37,64,1,9,28,53,1,1,0,2,16,N,0,244,9,N,99,Single                    ,1,718,LASCI,Single,1,0,0
4952,922,A,60,10000,8.9,UnSecured,23,4,72,H,Y,2,M,F,171,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,267,"134,000.00",88855,102517,792,0,D,34,90,0,0,99,0,1,1,0,3,6,N,0,137,9,N,99,,0,,,,0,0,0
4953,849,B,60,5000,16.9,UnSecured,18,3,90,H,Y,0,S,M,30,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,300,"150,000.00",117514,144722,1178,4,D,37,119,0,0,99,0,1,1,0,5,7,N,0,273,9,N,99,Single                    ,1,715,LASU,Single,1,0,0
4954,781,E,49,2500,34.9,UnSecured,21,4,39,R,Y,1,S,M,12,G,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,84,"120,000.00",0,448,0,5,D,38,0,0,0,99,0,0,0,0,7,1,N,0,5,4,N,99,,0,,,,0,0,0
4955,798,D,25,1000,36.9,UnSecured,49,9,121,L,Y,0,S,M,84,P,F,P,2,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,170,"120,000.00",0,13166,124,5,D,28,0,0,0,99,5,0,0,0,2,0,N,0,132,3,N,99,Life & CI                 ,1,713,LIFE & CRITICAL ILLNESS,LCI,0,0,1
4961,867,B,60,3000,17.9,UnSecured,47,8,1,H,Y,1,S,M,84,G,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,72,"167,000.00",161185,178244,1441,5,D,27,163,0,0,99,9,1,0,0,5,0,N,0,171,9,N,99,Joint Life & Critica      ,1,749,JOINT LIFE & CRITICAL ILLNESS,Single,1,0,0
4962,762,E,48,3000,29.9,UnSecured,22,4,30,H,Y,1,M,M,144,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,276,"123,000.00",79178,79247,561,5,D,34,81,2,5,16,9,0,0,0,3,2,N,2,1,2,N,16,LASU                      ,1,750,LASU,Single,1,0,0
4963,812,D,24,1500,27.9,UnSecured,44,8,42,H,Y,4,M,M,34,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,132,"87,000.00",76902,84901,867,5,D,29,78,0,0,99,0,0,0,0,9,3,N,0,80,6,N,99,Single                    ,1,715,LASU,Single,1,0,0
4964,802,D,18,1500,25.9,UnSecured,23,4,26,T,Y,0,S,F,96,G,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,102,"120,000.00",0,5399,216,5,D,31,0,0,0,99,30,0,0,0,9,2,N,0,54,5,N,99,,0,,,,0,0,0
4967,952,X,54,8000,7.9,UnSecured,99,99,85,H,Y,0,S,M,97,S,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,217,"350,000.00",0,8285,0,0,D,38,0,0,0,99,6,0,0,0,1,2,N,0,83,5,N,99,Life & CI                 ,1,713,LIFE & CRITICAL ILLNESS,LCI,0,0,1
4972,786,E,37,10000,18.9,secured  ,32,5,109,H,Y,0,S,F,33,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,336,"165,000.00",75243,84355,1281,5,D,59,76,0,0,99,0,3,1,1,6,2,N,0,101,9,N,99,LASU                      ,1,750,LASU,Single,1,0,0
4973,830,C,48,5000,24.9,UnSecured,8,2,24,T,Y,1,S,F,42,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,90,"120,000.00",0,855,0,5,D,54,0,0,0,99,0,0,0,0,1,0,N,0,9,4,N,99,LASU                      ,1,750,LASU,Single,1,0,0
4974,984,X,60,7000,8.9,UnSecured,23,4,134,H,Y,0,M,F,140,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,240,"300,000.00",161506,169214,810,5,D,56,163,0,0,99,6,1,1,0,3,9,N,0,78,9,N,99,Life & CI                 ,1,714,JOINT LIFE & CRITICAL ILLNESS,Single,1,0,0
4976,887,A,60,3000,23.9,UnSecured,53,10,124,H,Y,0,W,F,87,R,F,P,3,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,135,"250,000.00",0,12023,0,0,D,68,0,0,0,99,0,2,0,0,2,11,N,0,121,9,N,99,Life & CI                 ,1,713,LIFE & CRITICAL ILLNESS,LCI,0,0,1
4977,956,X,60,11700,7.9,UnSecured,60,11,361,H,Y,0,D,F,14,P,F,P,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,313,"300,000.00",0,10091,0,0,D,54,0,0,0,99,0,0,0,0,1,0,N,0,101,2,N,99,Single                    ,1,718,LASCI,Single,1,0,0
4987,749,F,60,3500,37.4,UnSecured,37,6,213,H,Y,0,M,F,85,G,F,P,6,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,FALSE ,191,"90,000.00",83708,89181,1236,4,D,46,85,3,25,26,254,3,3,4,3,17,N,3,55,4,N,26,Single                    ,1,715,LASU,Single,1,0,0
4990,892,A,60,7500,14.4,UnSecured,43,7,79,T,Y,1,S,F,55,P,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,319,"120,000.00",0,5963,0,0,D,40,0,0,0,99,1,1,0,0,4,7,N,0,60,5,N,99,Single                    ,1,715,LASU,Single,1,0,0
4994,792,D,120,11000,15.9,secured  ,47,8,120,H,Y,0,M,M,137,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,311,"101,000.00",84762,101515,767,4,D,48,87,3,79,22,183,1,3,1,5,0,N,2,164,5,N,22,Single                    ,1,717,1st Cust - LASU / 2nd Cust - LCI,Single,1,0,0
4998,912,A,60,5000,11.9,UnSecured,44,8,144,H,Y,1,S,F,36,G,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,180,"116,000.00",41221,41471,284,5,D,41,43,0,0,99,0,0,0,0,1,5,N,0,3,4,N,99,Joint                     ,1,716,LASU JOINT,JOINT,0,1,0
5002,840,B,60,22000,14.4,secured  ,12,2,72,H,Y,2,M,M,41,S,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,252,"162,000.00",130639,161359,1397,1,D,35,132,0,0,99,0,1,1,0,1,5,N,0,308,8,N,99,Joint                     ,1,719,LASCI JOINT,JOINT,0,1,0
5004,850,B,60,2500,29.9,UnSecured,37,6,55,T,Y,0,M,M,124,R,F,P,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,420,"120,000.00",0,844,50,5,D,68,0,0,0,99,0,0,0,0,3,3,N,0,9,2,N,99,Life & CI                 ,1,713,LIFE & CRITICAL ILLNESS,LCI,0,0,1
5006,1016,X,48,7000,8.9,UnSecured,18,3,252,H,Y,1,M,M,370,P,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,180,"240,000.00",47034,74835,574,0,D,59,49,0,0,99,0,0,0,0,6,18,N,0,279,9,N,99,,0,,,,0,0,0
5007,985,X,60,6500,8.9,UnSecured,23,4,126,H,Y,1,S,M,233,P,F,P,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,251,"80,000.00",34905,40565,220,0,D,42,36,0,0,99,0,0,0,0,1,9,N,0,57,2,N,99,Single                    ,1,715,LASU,Single,1,0,0
5012,950,X,60,15000,7.4,UnSecured,60,11,61,H,Y,2,M,F,8,P,F,P,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,151,"120,000.00",75099,86861,446,4,D,28,76,0,0,99,0,0,0,0,0,0,N,0,123,4,N,99,,0,,,,0,0,0
5013,1047,X,36,15000,7.4,UnSecured,9,2,146,H,Y,0,M,M,193,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,FALS,FALSE ,250,"160,000.00",68000,10095,0,0,D,54,0,0,0,99,0,0,0,0,0,11,N,0,101,3,N,99,,0,,,,0,0,0
5014,940,A,120,12000,9.4,secured  ,17,3,14,H,N,0,M,M,10,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,245,"155,000.00",98882,96521,715,4,D,52,84,0,0,99,0,1,0,0,3,1,N,0,140,9,N,99,Single                    ,1,715,LASU,Single,1,0,0
5015,862,B,60,16300,8.4,secured  ,46,8,20,H,Y,0,S,M,2,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,132,"100,000.00",64800,82050,715,5,D,26,65,0,0,99,0,1,0,0,2,1,N,0,186,8,N,99,Life & Critical Illn      ,1,748,LIFE & CRITICAL ILLNESS,LCI,0,0,1
5016,952,X,60,8000,6.9,UnSecured,60,11,147,H,Y,0,S,F,164,G,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,224,"150,000.00",90000,20239,526,0,D,37,0,0,0,99,0,0,0,0,3,11,N,0,203,5,N,99,,0,,,,0,0,0
5019,921,A,24,1500,19.9,UnSecured,46,8,288,H,Y,1,M,F,48,R,F,P,6,TRUE,FALSE,FALSE,FALSE,TRUE ,TRUE,FALSE ,60,"100,000.00",0,27069,786,5,D,64,0,1,1,26,0,0,0,0,2,24,N,1,271,8,N,26,Life & CI                 ,1,714,JOINT LIFE & CRITICAL ILLNESS,Single,1,0,0
5021,750,F,60,3000,33.9,UnSecured,47,8,108,T,Y,0,D,F,195,D,F,P,2,TRUE,FALSE,TRUE ,FALSE,TRUE ,TRUE,FALSE ,99,"120,000.00",0,6179,0,0,D,54,0,0,0,99,0,1,0,0,2,7,N,0,62,9,N,99,Life & CI                 ,1,714,JOINT LIFE & CRITICAL ILLNESS,Single,1,0,0
5025,944,X,60,6000,8.9,UnSecured,57,11,223,H,Y,2,M,F,156,P,F,P,5,TRUE,TRUE ,TRUE ,FALSE,FALSE,FALS,FALSE ,120,"200,000.00",65000,63514,505,5,D,40,62,0,0,99,0,1,0,0,0,0,N,0,30,6,N,99,,0,,,,0,0,0
5029,777,E,120,18000,12.4,secured  ,40,6,300,H,Y,1,M,M,84,S,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,60,"175,000.00",99097,111724,953,5,D,48,101,0,0,99,11,1,0,0,1,0,N,0,127,7,N,99,Joint Life & Critica      ,1,749,JOINT LIFE & CRITICAL ILLNESS,Single,1,0,0
5039,789,D,37,1500,32.9,UnSecured,8,2,12,T,Y,0,S,M,6,P,F,P,3,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,FALSE ,264,"120,000.00",0,1850,0,5,D,28,0,0,0,99,0,0,0,0,3,0,N,0,19,3,N,99,Single                    ,1,715,LASU,Single,1,0,0
5040,1013,X,48,4200,14.9,UnSecured,46,8,388,H,Y,0,M,F,54,P,F,P,5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,195,"85,000.00",24000,54325,0,0,D,53,0,0,0,99,43,0,0,0,1,26,N,0,544,2,N,99,Single                    ,1,715,LASU,Single,1,0,0
5049,1003,X,60,6000,10.9,UnSecured,18,3,216,H,Y,2,M,F,240,G,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,276,"160,000.00",78000,85997,709,5,D,40,78,0,0,99,0,1,0,0,1,17,N,0,100,5,N,99,Life & Critical Illn      ,1,748,LIFE & CRITICAL ILLNESS,LCI,0,0,1
5054,947,X,36,11000,7.4,UnSecured,10,2,22,H,Y,0,S,M,91,P,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,299,"275,000.00",72000,91754,763,0,D,36,87,0,0,99,0,0,0,0,3,2,N,0,67,9,N,99,,0,,,,0,0,0
